表格 1
Item,品牌,名稱,色號,製造日期,有效日期,金額,購買日期
1,Bobbi Brown,"全方位奶油遮瑕筆
Skin Concealer Stick",Warm Beige,2021/07/01,2024/07/01,,
2,Bobbi Brown,"迷戀親吻唇膏
Crushed Lip Color",Angel,2020/02/01,2023/02/01,,
3,Bobbi Brown,"迷戀親吻唇膏
Crushed Lip Color",Sunset,2020/02/02,2023/02/02,,
4,Muldream,"植萃溫和舒緩保濕精華
Vegan Green Mild Hyaluron Ampoule",-,2021/03/05,2024/03/04,,
5,LANCOME,零粉感超持久粉底,BO-01,2022/04/01,2025/04/01,,
6,LANCOME,"絕對完美玫瑰金粹妝前乳
Melting Perfecting Skin Primer Infuse with Grand Rose",-,,,,
7,REVOLUTION,抹美妍毛孔隱形膏,-,2022/07/01,2025/07/01,$598,
8,Dior,"癮誘粉漾潤唇膏
Addict LIP GROW",001 Pink,2022/12/01,2025/12/01,"$1,350",2023/03/26
9,Dior,"超完美持久遮瑕乳
Forever Skin Correct",1N,2023/02/01,2026/02/01,"$1,650",2023/03/26
10,Dior,"超完美持久遮瑕乳 ( 試用3ml )
Forever Skin Correct","1N
Neutral",2022/01/01,2025/01/01,-,2023/03/26
11,Dior,"超完美持久柔霧粉底液 ( 試用2.7ml )
Forever Teint Tenue 24H* Sans Transfert Haute Perfection","1N
Neutral",2021/09/01,2024/09/01,-,2023/03/26
12,N7,Stay Perfect Foundation,"Calico
610w",-,-,-,-
13,heme,"六色眼影盤
Eye Color Palette","Ferment Orange 
濃橙",2022/12/29,2027/12/29,$299,2023/03/30
14,1028,"修片狂校色遮瑕盤
Corrector & Concealer Palette",-,2022/07/15,2025/07/15,,2023/04/07
15,CLIO,"就是水嫩CC 粉紅限定版
Nudism Water Me CC SPF50+, PA+++",-,2022/09/25,2025/09/25,$315,2023/04/07
16,"MAKE UP
 FOR EVER","藝術大師玩色頰彩
Artist Face Color",B208-輕甜粉,2022/10/01,2027/10/01,"$1,720",2023/04/23
17,"MAKE UP
 FOR EVER"," 藝術大師玩色眼影
Artist Color Shadow",D-716 (淡金),2022/03/01,2027/03/01,,2023/04/23
18,"MAKE UP
 FOR EVER"," 藝術大師玩色眼影
Artist Color Shadow",D-712 (淡棕),2022/02/01,2027/02/01,,2023/04/23
19,"MAKE UP
 FOR EVER","超光肌活氧水 ( 試用15ml )
Mist & Fix O2", 激活版,2021/05/01,2024/05/01,-,2023/04/23
20,KAIBEAUTY,EYECON藝想調色眼影盤,"#Process
#王妃",2021/12/27,2024/12/26,$880,2023/06/03
21,I’M MEME,"I’M afternoon tea contour palette 
我愛冷萃摩卡修容盤","02 Frozen Choco
冷萃摩卡",2022/12/27,2025/12/26,$470,2023/06/03
22,I’M MEME,"I’M afternoon tea blusher palette
我愛甜茶晨光腮紅盤","Champagne Party
甜茶晨光",2023/01/01,2026/01/01,$440,2023/06/03
23,I’M MEME,"Color Key Ring Velvet Tint 
我愛奶霜柔霧唇釉","02 Quiet Coral
玫瑰烤奶霜",2022/12/26,2025/06/26,$312,2023/06/03
24,CATRICE,"Glow Lover oil-infused Highlighter
自我打愛戀打亮餅",010,2023/01/01,2028/01/01,$182,2023/06/03
25,MAQuillAGE,"Dramatic Face Powder SPF18 PA++
心機彩妝 心機星魅輕羽粉餅EX",10,2020/09/09,2023/09/09,-,2023/06/07
26,excel,裸色深邃眼影,"SR06
微醺粉棕",2023/06/07,2028/06/07,$600,2023/06/07
27,excel,自然柔和裸肌腮紅,"SB03
輕盈暖橘色",2023/06/07,2028/06/07,$535,2023/06/07
28,I’M MEME,"Color Key Ring Velvet Tint 
我愛奶霜柔霧唇釉","01 Rosy Beige
蜜桃烤奶霜",2023/01/01,2025/07/01,$312,2023/07/19
29,I’M MEME,"I’M Meme Multi Cube
我愛口袋彩妝小方盒","05 Vanilla Double Shot
05 小奶油",2023/04/12,2026/04/12,$451,2023/07/19
30,I’M MEME,"I’M Drawing Atelier Velvet Lipstick
我愛奶霜柔霧唇釉","09 Delighted
09 杏仁烤茶",2021/09/05,2024/09/05,$332,2023/07/19
31,I’M MEME,"Lip Silhouette 
我愛唇欲柔霧唇釉","01 Retro Peach
01 小鹿亂撞",2023/01/29,2025/07/29,$332,2023/07/19
